Accuracy,Precision,Recall,F1,ROC-AUC,Disease,Model
0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166,Heart,Logistic Regression
0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9426406926406926,Heart,Random Forest
0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9642857142857143,Heart,SVM
0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,Diabetes,Logistic Regression
0.7727272727272727,0.7021276595744681,0.6111111111111112,0.6534653465346535,0.8180555555555555,Diabetes,Random Forest
0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,Diabetes,SVM
0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8432716049382717,Stroke,Logistic Regression
0.9285714285714286,0.17142857142857143,0.12,0.1411764705882353,0.7728600823045269,Stroke,Random Forest
0.8082191780821918,0.11979166666666667,0.46,0.19008264462809918,0.7733950617283951,Stroke,SVM
0.9875,1.0,0.98,0.98989898989899,1.0,CKD,Logistic Regression
1.0,1.0,1.0,1.0,1.0,CKD,Random Forest
1.0,1.0,1.0,1.0,1.0,CKD,SVM
